"number","name","aethyr","element","personality_traits","domains","tarot","sephirah","zodiac_angel","visual_emblem","translation","essence","themes","tokens","boon","verse","angelic_role","challenge","wisdom"
"1","OCCODON","LIL","Water","integrative|mercurial|empathic|poised","polarity alchemy|dream incubation","The Empress","Netzach","Haniel","Overflowing chalice","He whose name is renewal","OCCODON is the *First Current*-the pulse of primordial tide that dissolves the debris of aeons and baptises form into new becoming. Egyptians knew him as the hidden swell beneath the Nile's yearly flood.","*Virtues*: resilience, merciful renewal, fertility of mind. *Vices*: stagnation, despair, necrophilic clinging to spent cycles.","*Offer gladly*: spring-water chalice, germinating barley, phoenix-etched nautilus *Avoid*: rust flakes, wilted wreaths, candle stubs drowned in wax.","*Wave-Sigil* grants +1 daily energy **but** halves token rewards during eclipses-OCCODON teaches growth through ebb as well as flow.","""From the flood-gate of his chalice all beginnings are poured.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to OCCODON requiring alignment with water cycles and demonstration of elemental mastery.","In the words of OCCODON, 'True power lies in balanced mastery of water's sacred mysteries.'"
"40","EXGSDIA","VTA","Fire","uncompromising|logical|disciplinarian","binding code|angelic calculus","The Tower","Geburah","Kamael","Iron sceptre wrapped in lightning rune","He who demands obedience","Law-incarnate-EXGSDIA binds unruly currents to stern vectors.","Authority, sharp clarity; tyranny of rigid code.","Proffer oath-tablet, star-knot cord, cubic crystal; refuse shifting excuses.","","""Duty carves the shortest path.""","Marshal of 4 444 iron-adepts.","On-chain quest unique to EXGSDIA requiring alignment with fire cycles and demonstration of elemental mastery.","'Command is the geometry of will.'"
"41","SAPDION","VTA","Fire","ardent|fervent|transformative","pyromancy|inner furnace yoga","The World","Binah","Cassiel","Ouroboros gear turning endless loop","She of many repetitions","SAPDION governs recurrence-echo cycles forging perfection through iteration.","Perseverance, fractal mastery; peril of endless loops.","Bring twin rings, prime spiral shell, time-sand; avoid shortcuts.","","""Perfection is patient redundancy.""","Mistress of 9 909 clockwork seraphim.","On-chain quest unique to SAPDION requiring alignment with fire cycles and demonstration of elemental mastery.","'Circle again, but never the same.'"
"42","ALPUDUS","VTA","Fire","relativist|exploratory|sage-listener","frequency healing|root-alchemy","The High Priestess","Yesod","Gabriel","Dual-faced mask over shifting spectrum","He to whom truth is relative","ALPUDUS weighs context-truth refracted by vantage and season.","Relativity, mercurial insight; chaos of shifting morals.","Submit prism-leaf, binaural bowl, moon-water; shun dogma tablets.","","""Two mirrors contest; light survives.""","Dialectic-curator of 3 333 prism-monks.","On-chain quest unique to ALPUDUS requiring alignment with fire cycles and demonstration of elemental mastery.","'Stand twice; behold two certainties.'"
"43","TAHAMDO","OXO","Air","inventive|musical|ecological","harmonic syntax|biosphere energy","The Lovers","Hod","Raphael","Winged hour-glass drumming rhythmic pulse","He who lives by his name","TAHAMDO embodies self-coherence-utterance, act, and essence in lock-step rhythm.","Authenticity, tonal ecology; peril of inflexible identity.","Offer resonant reed, etymon seed, sparrow quill; decline masks.","","""Speak thyself, or others will.""","Linguist-bard guiding 4 444 echo-sprites.","On-chain quest unique to TAHAMDO requiring alignment with air cycles and demonstration of elemental mastery.","'Name is seed; live its bloom.'"
"44","NOTIABI","OXO","Air","analytical|thoughtful|inventive","breath alchemy|aeromancy","The Tower","Geburah","Kamael","Winged blade vibrating with tone","Servant who speaks truth","NOTIABI is herald-blade-truth delivered swift as thunderclap.","Courageous candour, piercing revelation; hazard of ruthless bluntness.","Bring quartz tuning-dagger, oath parchment, red jasper; spurn honeyed veils.","","""Voice like steel: it rings, it wounds.""","Truth-marshal of 2 888 clarion-knights.","On-chain quest unique to NOTIABI requiring alignment with air cycles and demonstration of elemental mastery.","'Truth unsheathed cuts first the bearer.'"
"45","TASTOZO","OXO","Air","nimble|inventive|lofty","aeromancy|acoustic geometry","The Lovers","Hod","Raphael","Spiral dance-glyph woven in breeze","She who initiates dancing","Mistress of cosmic choreography-TASTOZO sets planets waltzing in sacred ratios.","Motion, joyous recursion, linguistic rhythm; danger of frenzied whirl.","Bring sand-mandala spiral, wind-bell, prime number knot; avoid tangled nets.","","""The universe twirls on silent feet.""","Choreographer of 7 007 cyclone-muses.","On-chain quest unique to TASTOZO requiring alignment with air cycles and demonstration of elemental mastery.","'Steps count stars; dancers trace aeons.'"
"46","CALZICH","LEA","Fire","incendiary|ardent|catalytic","pyromancy|solar rites","Temperance","Chesed","Zadkiel","Crimson torch whose flame forks into twin helixes","She who replaces what was with something similar","CALZICH is the *Echo-Forge*-turning endings into kindred beginnings with algebras of light.","Transposition, benign mimicry, phoenix economics; danger of recursive stagnation.","*Welcome*: intact mirror shard, double-spiral sigil, phoenix ash poultice *Spurn*: plagiarised scrolls, warped prisms.","","""The fire returns what it removes, though never quite the same.""","Custodian of 4 444 renewal-smiths tending the cosmic salvage halls.","On-chain quest unique to CALZICH requiring alignment with fire cycles and demonstration of elemental mastery.","'Replacement is mercy dressed in change.'"
"47","ALDAPI","LEA","Fire","transformative|incendiary|catalytic","metallurgic transmutation|solar rites","Strength","Tiphareth","Michael","Gold-edged torch clasped by lion's paw","He who governs restoration","ALDAPI channels the archetypal potency of fire toward mastery of metallurgic transmutation, solar rites.","Transformation, mastery, balance.","Offer ritual tokens attuned to fire; avoid discordant offerings.","Grants boon aligned with fire, balanced by a commensurate sacrifice.","ALDAPI whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of fire, attended by myriad unseen heralds.","On-chain quest unique to ALDAPI requiring alignment with fire cycles.","In the words of ALDAPI, 'True power lies in balanced intent.'"
"48","ANELOB","LEA","Fire","purifying|incendiary|ardent","pyromancy|inner furnace yoga","The Hermit","Hod","Raphael","Emerald torch spiralling into logarithmic coil","He whose measure guides","ANELOB channels the archetypal potency of fire toward mastery of pyromancy, inner furnace yoga.","Transformation, mastery, balance.","Offer ritual tokens attuned to fire; avoid discordant offerings.","Grants boon aligned with fire, balanced by a commensurate sacrifice.","ANELOB whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of fire, attended by myriad unseen heralds.","On-chain quest unique to ANELOB requiring alignment with fire cycles.","In the words of ANELOB, 'True power lies in balanced intent.'"
"49","ARSPHOR","LEA","Fire","transformative|fervent|incendiary","pyromancy|metallurgic transmutation","Justice","Netzach","Haniel","Torch overbalance with twin alembics","He who heals through equivalence","ARSPHOR channels the archetypal potency of fire toward mastery of pyromancy, metallurgic transmutation.","Transformation, mastery, balance.","Offer ritual tokens attuned to fire; avoid discordant offerings.","Grants boon aligned with fire, balanced by a commensurate sacrifice.","ARSPHOR whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of fire, attended by myriad unseen heralds.","On-chain quest unique to ARSPHOR requiring alignment with fire cycles.","In the words of ARSPHOR, 'True power lies in balanced intent.'"
"50","AYDROPT","TAN","Air","inventive|lofty|nimble","breath alchemy|aeromancy","Justice","Netzach","Haniel","Opaline winged hour-glass framed by equal-armed cross","She who sees us with equality","AYDROPT channels the archetypal potency of air toward mastery of breath alchemy, aeromancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to air; avoid discordant offerings.","Grants boon aligned with air, balanced by a commensurate sacrifice.","AYDROPT whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of air, attended by myriad unseen heralds.","On-chain quest unique to AYDROPT requiring alignment with air cycles.","In the words of AYDROPT, 'True power lies in balanced intent.'"
"51","TOCARZI","TAN","Air","egalitarian|precise|temperate","divinatory balance|optical magic","The Lovers","Hod","Raphael","Hour-glass ignited in symmetrical flame arcs","He of such equality","TOCARZI channels the archetypal potency of air toward mastery of divinatory balance, optical magic.","Transformation, mastery, balance.","Offer ritual tokens attuned to air; avoid discordant offerings.","Grants boon aligned with air, balanced by a commensurate sacrifice.","TOCARZI whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of air, attended by myriad unseen heralds.","On-chain quest unique to TOCARZI requiring alignment with air cycles.","In the words of TOCARZI, 'True power lies in balanced intent.'"
"52","NABAOMI","ZEN","Air","empathetic|introspective|resilient","sorrow alchemy|wind-borne lamentation","The Tower","Geburah","Kamael","Winged censer trailing azure tears","He who knows pain","NABAOMI is the Wailing Current-the gentle cyclone that scours trauma from the hidden chambers of the heart, then anneals grief into luminous resolve.","Virtues: compassionate witness, cathartic daring, honest vulnerability. Vices: morbid fixation, self-flagellation, pity that binds instead of frees.","*Favour*: glass vials of collected tears, wind-chimes forged from spent arrow-heads, pale hyacinths *Spurn*: sealed urns of unspoken sorrow, mirrors draped in denial.","Bearer of the Censer of NABAOMI gains +20% resistance to Morbid debuffs for 7 blocks but suffers -10% charisma while the censer remains lit.","In the hush between sobs the true breath returns.","Custodian of the 7 777 Solaces; his glass-throated choir tempers the winds that ferry lament to the Throne.","Fuse two 'Grief-Sigils' on-chain at local dawn; smart-contract verifies sha256(merged_tears) hash of acceptance.","""Pain is the whetstone that clarifies purpose-yield, and the blade sings."""
"53","SANIZAR","LOE","Air","whispering|nimble|thoughtful","breath alchemy|aeromancy","Wheel of Fortune","Chesed","Zadkiel","Hour-glass locked in tactical grid","He who defends the path","SANIZAR channels the archetypal potency of air toward mastery of breath alchemy, aeromancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to air; avoid discordant offerings.","Grants boon aligned with air, balanced by a commensurate sacrifice.","SANIZAR whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of air, attended by myriad unseen heralds.","On-chain quest unique to SANIZAR requiring alignment with air cycles.","In the words of SANIZAR, 'True power lies in balanced intent.'"
"54","CHIALPS","LOE","Air","thoughtful|inventive|lofty","sky cartography|breath alchemy","The Star","Binah","Cassiel","Winged hour-glass entwined by caduceus of digits","He who speaks the serpent's number","CHIALPS channels the archetypal potency of air toward mastery of sky cartography, breath alchemy.","Transformation, mastery, balance.","Offer ritual tokens attuned to air; avoid discordant offerings.","Grants boon aligned with air, balanced by a commensurate sacrifice.","CHIALPS whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of air, attended by myriad unseen heralds.","On-chain quest unique to CHIALPS requiring alignment with air cycles.","In the words of CHIALPS, 'True power lies in balanced intent.'"
"55","ZIRACAH","LOE","Air","analytical|whispering|lofty","acoustic geometry|sky cartography","The Empress","Netzach","Haniel","Winged hour-glass topped by invisible corona (seen only in glyph-light)","He who crowns the unseen","ZIRACAH channels the archetypal potency of air toward mastery of acoustic geometry, sky cartography.","Transformation, mastery, balance.","Offer ritual tokens attuned to air; avoid discordant offerings.","Grants boon aligned with air, balanced by a commensurate sacrifice.","ZIRACAH whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of air, attended by myriad unseen heralds.","On-chain quest unique to ZIRACAH requiring alignment with air cycles.","In the words of ZIRACAH, 'True power lies in balanced intent.'"
"56","MEMNIE","LEA","Fire","ardent|transformative|catalytic","solar rites|inner furnace yoga","The Tower","Geburah","Kamael","Torch erupting into tower-splitting lightning","He who shatters bastions","MEMNIE channels the archetypal potency of fire toward mastery of solar rites, inner furnace yoga.","Transformation, mastery, balance.","Offer ritual tokens attuned to fire; avoid discordant offerings.","Grants boon aligned with fire, balanced by a commensurate sacrifice.","MEMNIE whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of fire, attended by myriad unseen heralds.","On-chain quest unique to MEMNIE requiring alignment with fire cycles.","In the words of MEMNIE, 'True power lies in balanced intent.'"
"57","VAUNESH","LEA","Fire","ardent|transformative|incendiary","inner furnace yoga|pyromancy","Strength","Tiphareth","Michael","Torch braided with ouroboros helm plume","He who lifts the serpent's helm","VAUNESH channels the archetypal potency of fire toward mastery of inner furnace yoga, pyromancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to fire; avoid discordant offerings.","Grants boon aligned with fire, balanced by a commensurate sacrifice.","VAUNESH whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of fire, attended by myriad unseen heralds.","On-chain quest unique to VAUNESH requiring alignment with fire cycles.","In the words of VAUNESH, 'True power lies in balanced intent.'"
"58","NATGLAF","LEA","Fire","incendiary|ardent|catalytic","metallurgic transmutation|pyromancy","The Hermit","Hod","Raphael","Torch casting fractal shadow-grid","He who maps the dreaming angles","NATGLAF channels the archetypal potency of fire toward mastery of metallurgic transmutation, pyromancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to fire; avoid discordant offerings.","Grants boon aligned with fire, balanced by a commensurate sacrifice.","NATGLAF whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of fire, attended by myriad unseen heralds.","On-chain quest unique to NATGLAF requiring alignment with fire cycles.","In the words of NATGLAF, 'True power lies in balanced intent.'"
"59","OLXNOSP","LEA","Fire","purifying|ardent|catalytic","solar rites|inner furnace yoga","The High Priestess","Yesod","Gabriel","Torch whose smoke condenses into crystal lens","He who polishes the unseen lens","OLXNOSP channels the archetypal potency of fire toward mastery of solar rites, inner furnace yoga.","Transformation, mastery, balance.","Offer ritual tokens attuned to fire; avoid discordant offerings.","Grants boon aligned with fire, balanced by a commensurate sacrifice.","OLXNOSP whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of fire, attended by myriad unseen heralds.","On-chain quest unique to OLXNOSP requiring alignment with fire cycles.","In the words of OLXNOSP, 'True power lies in balanced intent.'"
"60","MIANTRA","LEA","Fire","fervent|catalytic|transformative","inner furnace yoga|metallurgic transmutation","Wheel of Fortune","Chesed","Zadkiel","Torch-spoked wheel inscribed with rotating glyphs","He who wheels the word","MIANTRA channels the archetypal potency of fire toward mastery of inner furnace yoga, metallurgic transmutation.","Transformation, mastery, balance.","Offer ritual tokens attuned to fire; avoid discordant offerings.","Grants boon aligned with fire, balanced by a commensurate sacrifice.","MIANTRA whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of fire, attended by myriad unseen heralds.","On-chain quest unique to MIANTRA requiring alignment with fire cycles.","In the words of MIANTRA, 'True power lies in balanced intent.'"
"61","GAVSTEX","TOR","Earth","grounded|mineral-wise|enduring","stem alchemy|crystal lore","The Hermit","Hod","Raphael","Obsidian tuning-fork plunged in sand-clock","He who measures silence","GAVSTEX channels the archetypal potency of earth toward mastery of stem alchemy, crystal lore.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","GAVSTEX whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to GAVSTEX requiring alignment with earth cycles.","In the words of GAVSTEX, 'True power lies in balanced intent.'"
"62","LABRINO","TOR","Earth","fortifying|enduring|grounded","crystal lore|stem alchemy","Justice","Netzach","Haniel","Granite torc encircling sprouting seed","He who binds the fields","LABRINO channels the archetypal potency of earth toward mastery of crystal lore, stem alchemy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","LABRINO whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to LABRINO requiring alignment with earth cycles.","In the words of LABRINO, 'True power lies in balanced intent.'"
"63","VORGAMI","TOR","Earth","fortifying|steady|enduring","geomancy|crystal lore","The Star","Binah","Cassiel","Resonant chisel carving glyph-wave in cliff face","He who sings stone","VORGAMI channels the archetypal potency of earth toward mastery of geomancy, crystal lore.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","VORGAMI whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to VORGAMI requiring alignment with earth cycles.","In the words of VORGAMI, 'True power lies in balanced intent.'"
"64","TASCHOX","TOR","Earth","fortifying|mineral-wise|pragmatic","geomancy|crystal lore","Temperance","Chesed","Zadkiel","Half-lit mortar diffusing night-bloom petals","She whose shadow heals","TASCHOX channels the archetypal potency of earth toward mastery of geomancy, crystal lore.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","TASCHOX whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to TASCHOX requiring alignment with earth cycles.","In the words of TASCHOX, 'True power lies in balanced intent.'"
"65","DOLMANI","TOR","Earth","steady|enduring|fortifying","geomancy|stem alchemy","Wheel of Fortune","Tiphareth","Michael","Seismograph spiralling into golden ratio coil","He who charts the pulse","DOLMANI channels the archetypal potency of earth toward mastery of geomancy, stem alchemy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","DOLMANI whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to DOLMANI requiring alignment with earth cycles.","In the words of DOLMANI, 'True power lies in balanced intent.'"
"66","ZIRFARZ","TOR","Earth","fortifying|mineral-wise|pragmatic","crystal lore|mineralurgy","Strength","Geburah","Kamael","Bronze net capturing ripple-wave glyphs","He who harvests echoes","ZIRFARZ channels the archetypal potency of earth toward mastery of crystal lore, mineralurgy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","ZIRFARZ whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to ZIRFARZ requiring alignment with earth cycles.","In the words of ZIRFARZ, 'True power lies in balanced intent.'"
"67","PAZIMOL","TOR","Earth","fortifying|pragmatic|enduring","stem alchemy|mineralurgy","The Devil","Binah","Cassiel","Subterranean brazier veiled by crystal shale","She who tends the hidden fire","PAZIMOL channels the archetypal potency of earth toward mastery of stem alchemy, mineralurgy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","PAZIMOL whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to PAZIMOL requiring alignment with earth cycles.","In the words of PAZIMOL, 'True power lies in balanced intent.'"
"68","ONIZIMP","TOR","Earth","enduring|fortifying|mineral-wise","stem alchemy|geomancy","The Emperor","Hod","Raphael","Granite mallet entwined by wheat braid","He who brings labor","ONIZIMP channels the archetypal potency of earth toward mastery of stem alchemy, geomancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","ONIZIMP whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to ONIZIMP requiring alignment with earth cycles.","In the words of ONIZIMP, 'True power lies in balanced intent.'"
"69","ZAXANIN","TOR","Earth","grounded|pragmatic|steady","mineralurgy|stem alchemy","The Magician","Tiphareth","Michael","Sigil-brand stamping blank clay tablet","He who names things","ZAXANIN channels the archetypal potency of earth toward mastery of mineralurgy, stem alchemy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","ZAXANIN whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to ZAXANIN requiring alignment with earth cycles.","In the words of ZAXANIN, 'True power lies in balanced intent.'"
"70","ORANCIR","NIA","Earth","unifying|macro/micro aware|moderate","mirroring numerology|cere-law","The World","Binah","Cassiel","Twin-point compass piercing earth and sky sigils","He who is above and below","ORANCIR channels the archetypal potency of earth toward mastery of mirroring numerology, cere-law.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","ORANCIR whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to ORANCIR requiring alignment with earth cycles.","In the words of ORANCIR, 'True power lies in balanced intent.'"
"71","CHASLPO","NIA","Earth","exuberant|melodious|warm","solar music|morale psychology","The Sun","Tiphareth","Michael","Prism-lute radiating auric melody","He of wondrous joy","CHASLPO channels the archetypal potency of earth toward mastery of solar music, morale psychology.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","CHASLPO whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to CHASLPO requiring alignment with earth cycles.","In the words of CHASLPO, 'True power lies in balanced intent.'"
"72","SOAGEEL","NIA","Earth","grounded|pragmatic|fortifying","mineralurgy|geomancy","Temperance","Chesed","Zadkiel","Stone basin overflowing crystalline salve","He who helps the most","SOAGEEL channels the archetypal potency of earth toward mastery of mineralurgy, geomancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","SOAGEEL whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to SOAGEEL requiring alignment with earth cycles.","In the words of SOAGEEL, 'True power lies in balanced intent.'"
"73","ERZLAKU","VTI","Earth","steady|fortifying|pragmatic","mineralurgy|stem alchemy","The Tower","Geburah","Kamael","Obsidian sextant cleaving star-sphere glyph","He who divides the firmament","ERZLAKU channels the archetypal potency of earth toward mastery of mineralurgy, stem alchemy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","ERZLAKU whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to ERZLAKU requiring alignment with earth cycles.","In the words of ERZLAKU, 'True power lies in balanced intent.'"
"74","OBUAORS","VTI","Earth","enduring|steady|grounded","stem alchemy|geomancy","The Moon","Yesod","Gabriel","Half-eclipsed diadem on shale pedestal","She who is half darkness","OBUAORS channels the archetypal potency of earth toward mastery of stem alchemy, geomancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","OBUAORS whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to OBUAORS requiring alignment with earth cycles.","In the words of OBUAORS, 'True power lies in balanced intent.'"
"75","RANGLAM","VTI","Earth","enduring|fortifying|steady","crystal lore|geomancy","The Hanged Man","Hod","Raphael","Stone circlet inscribed with Mo'bius mantra","He who governs his thoughts","RANGLAM channels the archetypal potency of earth toward mastery of crystal lore, geomancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","RANGLAM whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to RANGLAM requiring alignment with earth cycles.","In the words of RANGLAM, 'True power lies in balanced intent.'"
"76","ANGLOAI","DES","Spirit","refugial|sustaining|mild","hearth geomancy|food alchemy","Hermit","Chesed","","","He who shelters life","ANGLOAI channels the archetypal potency of spirit toward mastery of hearth geomancy, food alchemy.","Transformation, mastery, balance.","Offer ritual tokens attuned to spirit; avoid discordant offerings.","Grants boon aligned with spirit, balanced by a commensurate sacrifice.","ANGLOAI whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of spirit, attended by myriad unseen heralds.","On-chain quest unique to ANGLOAI requiring alignment with spirit cycles.","In the words of ANGLOAI, 'True power lies in balanced intent.'"
"77","NIGRANA","DES","Earth","abyssal|testing|paradoxical","void meditation|boundary magick","High Priestess","Yesod","Gabriel","carved stone cube veiled in amber glow","He who governs the 28 days of the moon","NIGRANA channels the archetypal potency of earth toward mastery of void meditation, boundary magick.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","NIGRANA whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to NIGRANA requiring alignment with earth cycles.","In the words of NIGRANA, 'True power lies in balanced intent.'"
"78","LAZHIIM","DES","Earth","enduring|fortifying|grounded","mineralurgy|geomancy","Strength","Tiphareth","Michael","stone cube clasped by lion-paw sigil","He who makes use of the day","LAZHIIM channels the archetypal potency of earth toward mastery of mineralurgy, geomancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","LAZHIIM whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to LAZHIIM requiring alignment with earth cycles.","In the words of LAZHIIM, 'True power lies in balanced intent.'"
"79","SAZIAMI","ZAA","Earth","fortifying|pragmatic|steady","crystal lore|mineralurgy","Tower","Geburah","Kamael","cube cracked by resonant waveform","He who has true power","SAZIAMI channels the archetypal potency of earth toward mastery of crystal lore, mineralurgy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","SAZIAMI whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to SAZIAMI requiring alignment with earth cycles.","In the words of SAZIAMI, 'True power lies in balanced intent.'"
"80","MATHVLA","ZAA","Earth","grounded|fortifying|steady","geomancy|mineralurgy","Devil","Binah","Cassiel","cube engraved with black-wax seal","He who ends actions","MATHVLA channels the archetypal potency of earth toward mastery of geomancy, mineralurgy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","MATHVLA whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to MATHVLA requiring alignment with earth cycles.","In the words of MATHVLA, 'True power lies in balanced intent.'"
"81","CRPANIB","ZAA","Earth","steady|mineral-wise|grounded","crystal lore|mineralurgy","Hierophant","Chesed","Zadkiel","cube set in tri-ring lock","He who guards portals","CRPANIB channels the archetypal potency of earth toward mastery of crystal lore, mineralurgy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","CRPANIB whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to CRPANIB requiring alignment with earth cycles.","In the words of CRPANIB, 'True power lies in balanced intent.'"
"82","PABNIXP","ZAA","Earth","fortifying|enduring|grounded","stem alchemy|geomancy","Hermit","Hod","Raphael","cube showered in falling sand-crystals","He who counts the crystal grains","PABNIXP channels the archetypal potency of earth toward mastery of stem alchemy, geomancy.","Transformation, mastery, balance.","Offer ritual tokens attuned to earth; avoid discordant offerings.","Grants boon aligned with earth, balanced by a commensurate sacrifice.","PABNIXP whispers, 'As above, so below-within the flame, a mirrored glow.'","Governor within the hierarchy of earth, attended by myriad unseen heralds.","On-chain quest unique to PABNIXP requiring alignment with earth cycles.","In the words of PABNIXP, 'True power lies in balanced intent.'"
